Name	CommonName	TaxID	Count	Rank	Group	Phylum	Class	Order	Family	Genus
Sellaphora	Diatom	216740	7	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Cymbella	Diatom	216744	435	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Navicula	Diatom	50949	26	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Gomphonema	Diatom	97226	604	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Navicula	Diatom	50949	68	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Nitzschia	Pennate diatom	2857	53	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Frustulia vulgaris	Diatom	431358	6	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Melosira	Diatom	35124	19	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Nitzschia	Pennate diatom	2857	30	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Cymbella	Diatom	216744	10	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Amphora	Diatom	59796	16	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Thalassiosira	Diatom	35127	42	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Thalassiosira
Navicula	Diatom	50949	8	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Fragilaria		33644	57	genus	Diatoms	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Cocconeis	Diatom	216715	88	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Sellaphora	Diatom	216740	51	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Cymbella	Diatom	216744	7	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Cocconeis	Diatom	216715	99	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Achnanthidium	Diatom	265567	26	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Achnanthidiaceae	Achnanthidium
Mayamaea permitis	Diatom	1302819	19	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Tabularia	Diatom	232513	18	genus	Diatoms	Bacillariophyta	Fragilariophyceae	Licmophorales	Ulnariaceae	Tabularia
Navicula	Diatom	50949	119	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Gomphonema	Diatom	97226	7	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Melosira	Diatom	35124	12	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Gomphonema	Diatom	97226	15	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Cocconeis	Diatom	216715	72	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Asterionellopsis	Diatom	33639	39	genus	Diatoms	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Asterionellopsis
Navicula	Diatom	50949	762	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Encyonema sp. WJS-2015a	Diatom	1752053	17	species	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Navicula	Diatom	50949	56	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Nitzschia	Pennate diatom	2857	5	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Cocconeis	Diatom	216715	400	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Melosira	Diatom	35124	39	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Skeletonema	Diatom	2842	12	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema
Mayamaea permitis	Diatom	1302819	33	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Cyclostephanos tholiformis	Diatom	382380	14	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclostephanos
Melosira	Diatom	35124	298	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Frustulia vulgaris	Diatom	431358	8	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Cocconeis	Diatom	216715	176	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Nitzschia	Pennate diatom	2857	51	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Cymbella	Diatom	216744	23	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Cyclotella	Brackish-water diatom	29203	107	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Skeletonema menzelii	Diatom	216823	320	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema
Eunotia	Diatom	196637	8	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Eunotiales	Eunotiaceae	Eunotia
Cocconeis	Diatom	216715	626	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Pinnularia	Freshwater diatom	216736	12	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Sellaphora	Diatom	216740	27	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Aulacoseira	Diatom	49233	54	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	NA	Aulacoseiraceae	Aulacoseira
Cocconeis	Diatom	216715	290	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Mayamaea permitis	Diatom	1302819	6	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Eolimna	Diatom	137465	52	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Eolimna
Gomphonema	Diatom	97226	41	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Nitzschia	Pennate diatom	2857	6	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Cocconeis	Diatom	216715	72	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Gomphonema	Diatom	97226	283	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Cymbella	Diatom	216744	134	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Navicula	Diatom	50949	118	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Gomphonema	Diatom	97226	113	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Frustulia gondwana	NZ diatom	1264786	21	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
unclassified Navicula		655776	455	no rank	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Nitzschia	Pennate diatom	2857	9	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Melosira	Diatom	35124	28	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Melosira	Diatom	35124	122	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Gomphonema	Diatom	97226	38	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Cocconeis	Diatom	216715	890	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Fistulifera	Diatom	880756	22	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Fistulifera
Gomphonema	Diatom	97226	44	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Fistulifera	Diatom	880756	11	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Fistulifera
Cocconeis	Diatom	216715	41	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Melosira	Diatom	35124	87	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Fragilaria		33644	71	genus	Diatoms	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Cyclotella	Brackish-water diatom	29203	68	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Nitzschia palea	Diatom	303400	29	species	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Sellaphora	Diatom	216740	8	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Frustulia vulgaris	Diatom	431358	15	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Melosira	Diatom	35124	367	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Gomphonema	Diatom	97226	28	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Nitzschia	Pennate diatom	2857	25	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Nitzschia	Pennate diatom	2857	18	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Pinnularia	Freshwater diatom	216736	28	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Frustulia vulgaris	Diatom	431358	5	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Navicula cryptocephala		138538	8	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Gomphonema	Diatom	97226	124	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Cocconeis	Diatom	216715	29	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Melosira	Diatom	35124	149	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Achnanthidium	Diatom	265567	12	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Achnanthidiaceae	Achnanthidium
Nitzschia	Pennate diatom	2857	22	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Melosira	Diatom	35124	11	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Navicula	Diatom	50949	26	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Nitzschia	Pennate diatom	2857	62	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Amphora	Diatom	59796	24	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Thalassiophysales	Catenulaceae	Amphora
Pinnularia sp. 9 CS-2011	Freshwater diatom	1089256	76	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Encyonema sp. WJS-2015a	Diatom	1752053	25	species	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Mayamaea permitis	Diatom	1302819	5	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Nitzschia	Pennate diatom	2857	7	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Cocconeis	Diatom	216715	129	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Encyonema	Diatom	216746	70	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Melosira	Diatom	35124	70	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Melosira	Diatom	35124	39	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Nitzschia	Pennate diatom	2857	136	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Gomphonema	Diatom	97226	127	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Cyclotella cryptica	Brackish-water diatom	29204	229	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Skeletonema menzelii	Diatom	216823	16	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema
Cyclotella cryptica	Brackish-water diatom	29204	6	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Navicula	Diatom	50949	166	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Pinnularia	Freshwater diatom	216736	17	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Cocconeis	Diatom	216715	1856	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Encyonema	Diatom	216746	148	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Encyonema	Diatom	216746	24	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Cymbella	Diatom	216744	72	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Gomphonema	Diatom	97226	98	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Gomphonema	Diatom	97226	108	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Fragilaria		33644	150	genus	Diatoms	Bacillariophyta	Fragilariophyceae	Fragilariales	Fragilariaceae	Fragilaria
Melosira	Diatom	35124	31	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Melosira	Diatom	35124	17	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Discostella	Diatom	382381	5	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Discostella
Nitzschia	Pennate diatom	2857	20	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Navicula	Diatom	50949	136	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Melosira	Diatom	35124	5	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Didymosphenia geminata	Didymo	1115533	35	species	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Didymosphenia
Melosira	Diatom	35124	27	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Skeletonema	Diatom	2842	72	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema
Nitzschia	Pennate diatom	2857	18	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Cyclotella	Brackish-water diatom	29203	16	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Nitzschia	Pennate diatom	2857	14	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Nitzschia	Pennate diatom	2857	7	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Mayamaea permitis	Diatom	1302819	8	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Cyclotella	Brackish-water diatom	29203	5	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Chaetoceros socialis	Diatom	163503	6	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros
Frustulia gondwana	NZ diatom	1264786	16	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Sellaphora	Diatom	216740	10	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Achnanthidium	Diatom	265567	18	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Achnanthidiaceae	Achnanthidium
Cocconeis	Diatom	216715	70	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Cymbella	Diatom	216744	13	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Stephanocyclus	Diatom	2818153	9	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Thalassiosiraceae	Stephanocyclus
Cymbella	Diatom	216744	126	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Navicula	Diatom	50949	164	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Melosira	Diatom	35124	11	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Cyclotella	Brackish-water diatom	29203	15	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Gomphonema	Diatom	97226	1285	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Surirella	Diatom	216753	60	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella
Melosira	Diatom	35124	43	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Cocconeis	Diatom	216715	937	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Melosira	Diatom	35124	330	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Sellaphora cf. minima	Diatom	433381	9	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Sellaphora	Diatom	216740	5	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Melosira	Diatom	35124	24	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Cyclotella cryptica	Brackish-water diatom	29204	41	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Nitzschia	Pennate diatom	2857	41	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Mayamaea permitis	Diatom	1302819	8	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Gomphonema	Diatom	97226	529	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Nitzschia acidoclinata	Diatom	1302829	12	species	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Skeletonema	Diatom	2842	26	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema
Rhoicosphenia cf. abbreviata EWT-2016		1827007	6	species	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Rhoicospheniaceae	Rhoicosphenia
Encyonema sp. WJS-2015a	Diatom	1752053	61	species	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Gomphonema	Diatom	97226	1410	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Melosira	Diatom	35124	6	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Gomphonema	Diatom	97226	783	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Frustulia	Diatom	431357	29	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Sellaphora	Diatom	216740	8	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	Sellaphora
Navicula	Diatom	50949	84	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Nitzschia	Pennate diatom	2857	46	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Encyonema sp. WJS-2015a	Diatom	1752053	17	species	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Encyonema
Chaetoceros sp. 19 LG-2014	Diatom	1514162	21	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Chaetocerotales	Chaetocerotaceae	Chaetoceros
Cylindrotheca	Diatom	2852	13	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Cylindrotheca
Melosira	Diatom	35124	263	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Mayamaea permitis	Diatom	1302819	36	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Cyclotella	Brackish-water diatom	29203	9	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Navicula	Diatom	50949	12	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Cyclotella cryptica	Brackish-water diatom	29204	54	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Cocconeis	Diatom	216715	576	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Cocconeis	Diatom	216715	37	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Nitzschia palea	Diatom	303400	7	species	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Lindavia intermedia	Lake snow	2161636	275	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Coscinodiscales	Coscinodiscaceae	Lindavia
Cyclotella cryptica	Brackish-water diatom	29204	22	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Melosira	Diatom	35124	111	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Cyclotella cryptica	Brackish-water diatom	29204	53	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Pinnularia	Freshwater diatom	216736	17	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Cocconeis	Diatom	216715	15	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Melosira	Diatom	35124	11	genus	Diatoms	Bacillariophyta	Coscinodiscophyceae	Melosirales	Melosiraceae	Melosira
Fistulifera	Diatom	880756	32	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Fistulifera
Frustulia gondwana	NZ diatom	1264786	5	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Amphipleuraceae	Frustulia
Surirella	Diatom	216753	20	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Surirellales	Surirellaceae	Surirella
Gomphonema	Diatom	97226	451	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Gomphonemataceae	Gomphonema
Navicula	Diatom	50949	65	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Navicula
Cocconeis	Diatom	216715	448	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cocconeidales	Cocconeidaceae	Cocconeis
Cymbella	Diatom	216744	10	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Cymbellales	Cymbellaceae	Cymbella
Cyclotella cryptica	Brackish-water diatom	29204	8	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Pinnularia	Freshwater diatom	216736	12	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Pinnulariaceae	Pinnularia
Mayamaea permitis	Diatom	1302819	7	species	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Mayamaea
Cyclotella cryptica	Brackish-water diatom	29204	73	species	Diatoms	Bacillariophyta	Coscinodiscophyceae	Stephanodiscales	Stephanodiscaceae	Cyclotella
Nitzschia	Pennate diatom	2857	6	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	Nitzschia
Fistulifera	Diatom	880756	15	genus	Diatoms	Bacillariophyta	Bacillariophyceae	Naviculales	Naviculaceae	Fistulifera
Anguilla australis	Shortfin eel	7940	5	species	Fish	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla
Oncorhynchus	Salmon/Trout	8016	689	genus	Fish	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus
Cyprinus rubrofuscus	Koi carp	1221224	3670	species	Fish	Chordata	Actinopteri	Cypriniformes	Cyprinidae	Cyprinus
Galaxias anomalus	Roundhead galaxias	126302	48	species	Fish	Chordata	Actinopteri	Galaxiiformes	Galaxiidae	Galaxias
Anguilla	Eels	7935	64	genus	Fish	Chordata	Actinopteri	Anguilliformes	Anguillidae	Anguilla
Gobiomorphus cotidianus	Common bully	226931	5058	species	Fish	Chordata	Actinopteri	Gobiiformes	Eleotridae	Gobiomorphus
Oncorhynchus mykiss	Rainbow trout	8022	25	species	Fish	Chordata	Actinopteri	Salmoniformes	Salmonidae	Oncorhynchus
Gobiomorphus	Bullies	86236	3009	genus	Fish	Chordata	Actinopteri	Gobiiformes	Eleotridae	Gobiomorphus
