Name	CommonName	TaxID	Count	Rank	Group	Phylum	Class	Order	Family	Genus
Anas platyrhynchos	Mallard duck	8839	2118	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Phasianus colchicus	Pheasant	9054	10	species	Birds	Chordata	Aves	Galliformes	Phasianidae	Phasianus
Anas platyrhynchos	Mallard duck	8839	163	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Sturnus vulgaris	Common starling	9172	91	species	Birds	Chordata	Aves	Passeriformes	Sturnidae	Sturnus
Zosterops lateralis	Silvereye	43581	95	species	Birds	Chordata	Aves	Passeriformes	Zosteropidae	Zosterops
Turdus	Thrush	9186	133	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anthornis melanura	Bellbird	698975	111	species	Birds	Chordata	Aves	Passeriformes	Meliphagidae	Anthornis
Limosa lapponica	Bar-tailed godwit	161683	98	species	Birds	Chordata	Aves	Charadriiformes	Scolopacidae	Limosa
Todiramphus sanctus vagans	Sacred kingfisher	497867	90	subspecies	Birds	Chordata	Aves	Coraciiformes	Alcedinidae	Todiramphus
Porphyrio	Swamphens	54483	62	genus	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Anas	Dabbling ducks	8835	10	genus	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	1888	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Fringilla coelebs	Common chaffinch	37598	81	species	Birds	Chordata	Aves	Passeriformes	Fringillidae	Fringilla
Anas platyrhynchos	Mallard duck	8839	1907	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Porphyrio melanotus	Pukeko	72013	33	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Turdus philomelos	Song thrush	127946	77	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anas chlorotis or gracilis	Brown or grey teal	10000052	31	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	20	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Turdus	Thrush	9186	16	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Anas platyrhynchos	Mallard duck	8839	596	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anser	Grey Geese	8842	41	genus	Birds	Chordata	Aves	Anseriformes	Anatidae	Anser
Anas platyrhynchos	Mallard duck	8839	36	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	74	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Turdus	Thrush	9186	64	genus	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Larus	Seagull	8911	54	genus	Birds	Chordata	Aves	Charadriiformes	Laridae	Larus
Columba livia	Pigeon	8932	21	species	Birds	Chordata	Aves	Columbiformes	Columbidae	Columba
Anas chlorotis or gracilis	Brown or grey teal	10000052	95	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Passer domesticus	House sparrow	48849	12	species	Birds	Chordata	Aves	Passeriformes	Passeridae	Passer
Anas platyrhynchos	Mallard duck	8839	368	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	466	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Anas platyrhynchos	Mallard duck	8839	201	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Porphyrio melanotus	Pukeko	72013	81	species	Birds	Chordata	Aves	Gruiformes	Rallidae	Porphyrio
Turdus philomelos	Song thrush	127946	14	species	Birds	Chordata	Aves	Passeriformes	Turdidae	Turdus
Larus	Seagull	8911	167	genus	Birds	Chordata	Aves	Charadriiformes	Laridae	Larus
Zosterops	White eye	36298	11	genus	Birds	Chordata	Aves	Passeriformes	Zosteropidae	Zosterops
Microcarbo melanoleucos	Little shag	146618	16	species	Birds	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Microcarbo
Anas platyrhynchos	Mallard duck	8839	14	species	Birds	Chordata	Aves	Anseriformes	Anatidae	Anas
Phasianus colchicus	Pheasant	9054	108	species	Birds	Chordata	Aves	Galliformes	Phasianidae	Phasianus
Zosterops lateralis	Silvereye	43581	12	species	Birds	Chordata	Aves	Passeriformes	Zosteropidae	Zosterops
